datetime,fear_greed
2024-12-02,65.31428571428572
2024-12-03,59.57142857142858
2024-12-04,57.48571428571429
2024-12-05,54.91428571428572
2024-12-06,52.142857142857146
2024-12-09,49.25714285714287
2024-12-10,46.971428571428575
2024-12-11,49.2
2024-12-12,47.114285714285714
2024-12-13,49.114285714285714
2024-12-16,56.057142857142864
2024-12-17,51.4
2024-12-18,33.12857142857143
2024-12-19,19.514285714285716
2024-12-20,27.600000000000005
2024-12-23,30.142857142857146
2024-12-24,34.51428571428571
2024-12-26,34.17142857142857
2024-12-27,33.82857142857143
2024-12-30,28.6
2024-12-31,26.314285714285713
2025-01-02,24.314285714285717
2025-01-03,28.885714285714283
2025-01-06,33.77142857142857
2025-01-07,34.31428571428572
2025-01-08,31.914285714285718
2025-01-10,25.62857142857143
2025-01-13,25.34285714285715
2025-01-14,25.142857142857142
2025-01-15,27.428571428571427
2025-01-16,27.342857142857145
2025-01-17,36.02857142857143
2025-01-21,39.91428571428572
2025-01-22,41.62857142857143
2025-01-23,43.68571428571429
2025-01-24,45.800000000000004
2025-01-27,37.971428571428575
2025-01-28,40.62857142857143
2025-01-29,42.4
2025-01-30,45.91428571428571
2025-01-31,43.771428571428565
2025-02-03,37.4
2025-02-04,37.142857142857146
2025-02-05,38.62857142857143
2025-02-06,39.68571428571429
2025-02-07,38.371428571428574
2025-02-10,44.714285714285715
2025-02-11,45.4
2025-02-12,41.371428571428574
2025-02-13,46.60000000000001
2025-02-14,43.68571428571429
2025-02-18,46.800000000000004
2025-02-19,47.628571428571426
2025-02-20,44.228571428571435
2025-02-21,36.971428571428575
2025-02-24,29.542857142857144
2025-02-25,24.199999999999996
2025-02-26,21.25714285714286
2025-02-27,12.757142857142858
2025-02-28,20.657142857142855
2025-03-03,12.342857142857143
2025-03-04,11.042857142857143
2025-03-05,11.514285714285714
2025-03-06,17.2
2025-03-07,17.642857142857146
2025-03-10,17.071428571428573
2025-03-11,15.114285714285716
2025-03-12,15.914285714285715
2025-03-13,15.185714285714287
2025-03-14,22.057142857142857
2025-03-17,22.571428571428573
2025-03-18,22.228571428571428
2025-03-19,24.4285714285714
2025-03-20,24
2025-03-21,25.0285714285714
2025-03-24,29.7714285714286
2025-03-25,30.4571428571429
2025-03-26,27.8
2025-03-27,28.5428571428571
2025-03-28,21.7428571428571
2025-03-31,19.2857142857143
2025-04-01,15.6285714285714
2025-04-02,18.6408163265306
2025-04-03,6.04346076458752
2025-04-04,3.9984126984127
2025-04-07,4.5334637964775
2025-04-08,3.38610038610039
2025-04-09,12.2666666666667
2025-04-10,8.30751879699248
2025-04-11,19.3643784786642
2025-04-14,19.5882783882784
2025-04-15,18.2144665461121
2025-04-16,14.4428571428571
2025-04-17,20.3571428571429
2025-04-18,19.4714285714286
2025-04-21,21.6447971781305
2025-04-22,26.2
2025-04-23,28.4285714285714
2025-04-24,36.8571428571429
2025-04-25,35.3714285714286
2025-04-28,36.3142857142857
2025-04-29,35.7714285714286
2025-04-30,42.6857142857143
2025-05-01,41.4857142857143
2025-05-02,54.4285714285714
2025-05-05,58.2571428571429
2025-05-06,55.0285714285714
2025-05-07,59.2285714285714
2025-05-08,61.4857142857143
2025-05-09,62.9714285714286
2025-05-12,66.4857142857143
2025-05-13,69
2025-05-14,70.4285714285714
2025-05-15,69.1714285714286
2025-05-16,70.4
2025-05-19,69.4
2025-05-20,68.7428571428571
2025-05-21,65.6857142857143
2025-05-22,65.6
2025-05-23,63.8857142857143
2025-05-27,65.3142857142857
2025-05-28,63.8571428571429
2025-05-29,63.9142857142857
